product_id,store_name,state,zipcode,qty,sales,import_order,created_time
GL22BLKS1,LOWE'S OF FEDERAL WAY, WA,WA,98003,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PUYALLUP, WA,WA,98374,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF AUBURN, WA,WA,98002,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF OLYMPIA, WA,WA,98516,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BONNEY LAKE, WA,WA,98391,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF KENT-MIDWAY, WA,WA,98032,4,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PORT ORCHARD, WA,WA,98367,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TACOMA, WA,WA,98466,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. LACEY, WA,WA,98503,6,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF LAKEWOOD, WA,WA,98499,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF LAKE JACKSON, TX,TX,77566,1,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF E. HOUSTON, TX,TX,77049,7,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PEARLAND, TX,TX,77581,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF MEYERLAND, TX,TX,77096,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF TEXAS CITY, TX,TX,77590,1,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF LEAGUE CITY, TX,TX,77573,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BAYBROOK, TX,TX,77598,5,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF PASADENA, TX,TX,77505,16,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF BAYTOWN, TX,TX,77521,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF S. E. HOUSTON, TX,TX,77087,0,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF HENDERSONVILLE, NC,NC,28792,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF W. ASHEVILLE, NC,NC,28806,9,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF GREER, SC,SC,29650,11,0,1,2024-12-27 00:10:25
GL22BLKS1,LOWE'S OF WEAVERVILLE, NC,NC,28787,6,0,1,2024-12-27 00:10:25
